,Brand,Title,Review,Rating,Author Name,Review Date,Views,Like Count,Dislike Count,URL
571,Kia Seltos,The stunning car - Kia Seltos,It is the best car ever I have saw. Most featured car in India.When it launches its demand will reach the sky. Will definitely give a premium feel. ,5,Vandana Limbani,17-Jul-19,17 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/the-stunning-car-kia-seltos-72669.htm
572,Kia Seltos,Best in segment - Kia Seltos,"Amazing car, it will definitely rule the automobile industry in India and the Indian market for sure. One great car with a powerfull engine. ",5,Anonymous,17-Jul-19,18 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/best-in-segment-kia-seltos-72612.htm
573,Kia Seltos,A Good Car,This is a good car. The features are great. The looks are amazing. The safety features are impressive.,5,Gautam Soni,15-Jul-19,21 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/a-good-car-72432.htm
574,Kia Seltos,Car of the year - Kia Seltos,"Kia Seltos is looking dam amazing with excellent design. Safety features are just awesome, covered all the advanced features. Thumbs up to Kia",5,Anonymous,16-Jul-19,17 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/car-of-the-year-kia-seltos-72445.htm
575,Kia Seltos,Excited very much - Kia Seltos,I am eagerly waiting for this car.  ,5,Lohith Sb,19-Jul-19,15 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/excited-very-much-kia-seltos-72958.htm
576,Kia Seltos,Car With Great Features,"Kia Seltos is a very superior car, it has many features and its steering wheel is very sporty. The interior of the car is awesome with bigh screen and the mileage is great.",5,Anonymous,21-Jul-19,76 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/car-with-great-features-73493.htm
577,Kia Seltos,Amazing looks,I had used the Kia Optima and the car was fantastic. Kia Seltos looks and features are unmatched and Kia Seltos will be a great car.,5,Pradeep Sehrawat,20-Jul-19,20 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/amazing-looks-73119.htm
578,Kia Seltos,Excellent Quality,"Great competition for Creta, a bit costly, but you get what you pay for, excellent quality and aggressive look with good practicality.",5,Anthony Massey,18-Jul-19,30 Views,1 Likes,1 Dislikes,https://www.cardekho.com/user-review/kia-seltos/excellent-quality-72790.htm
579,Kia Seltos,Kia Seltos,"Kia Seltos is a very good looking car, beautifully designed. It's a big competition for current mid SUV's.",5,Deva Verified Buyer,17-Jul-19,38 Views,1 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/kia-seltos-72644.htm
580,Kia Seltos,"An absolute stunner, Way to go Kia!","Seltos is surely a brand new stunner from Kia - The Seltos is going to give all its competition a run for its money. With such masculine looks in the overall scheme of things, the Kia is a beauty in all senses. The front of the car that sports chrome and diamond-shaped grille makes the car look it's best. The seamless flow down to the back of the car is so carefully designed that it makes the car look fabulous end to end. Good going Kia, you are on my top favorite list and looking forward to getting my hands on a Seltos. ",4,Anonymous,12-Jul-19,36 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/an-absolute-stunner-way-to-go-kia-71908.htm
581,Kia Seltos,A Good Car,This is a good SUV car in the segment. The looks are amazing.,4,Mouzam Khan,11-Jul-19,20 Views,1 Likes,1 Dislikes,https://www.cardekho.com/user-review/kia-seltos/a-good-car-71768.htm
582,Kia Seltos,World's Best car,Kia Seltos is simply a superb car with excellent features. It is the world's best car I have seen till now.,5,Anonymous,14-Jul-19,13 Views,0 Likes,0 Dislikes,https://www.cardekho.com/user-review/kia-seltos/worlds-best-car-72189.htm
